From;To;ID 5720 - PM1;ID 5720 - PM2.5;ID 5720 - PM10
05:00 22/06;06:00 22/06;13;18;35
06:00 22/06;07:00 22/06;14;18;37
07:00 22/06;08:00 22/06;15;21;43
08:00 22/06;09:00 22/06;14;20;42
09:00 22/06;10:00 22/06;13;18;37
10:00 22/06;11:00 22/06;12;17;34
11:00 22/06;12:00 22/06;11;16;31
12:00 22/06;13:00 22/06;11;15;29
13:00 22/06;14:00 22/06;11;14;26
14:00 22/06;15:00 22/06;11;15;26
15:00 22/06;16:00 22/06;11;14;26
16:00 22/06;17:00 22/06;11;15;27
17:00 22/06;18:00 22/06;10;13;24
18:00 22/06;19:00 22/06;11;14;26
19:00 22/06;20:00 22/06;11;14;26
20:00 22/06;21:00 22/06;11;14;25
21:00 22/06;22:00 22/06;12;16;32
22:00 22/06;23:00 22/06;11;15;29
23:00 22/06;00:00 23/06;13;19;38
00:00 23/06;01:00 23/06;12;17;35
01:00 23/06;02:00 23/06;11;15;28
02:00 23/06;03:00 23/06;10;14;26
03:00 23/06;04:00 23/06;10;14;26
04:00 23/06;05:00 23/06;10;14;26
05:00 23/06;06:00 23/06;10;14;26
06:00 23/06;07:00 23/06;12;17;33
07:00 23/06;08:00 23/06;12;17;35
08:00 23/06;09:00 23/06;12;17;34
09:00 23/06;10:00 23/06;13;17;36
10:00 23/06;11:00 23/06;12;17;35
11:00 23/06;12:00 23/06;12;16;34
12:00 23/06;13:00 23/06;11;15;31
13:00 23/06;14:00 23/06;10;14;28
14:00 23/06;15:00 23/06;11;16;30
15:00 23/06;16:00 23/06;11;15;28
16:00 23/06;17:00 23/06;11;15;27
17:00 23/06;18:00 23/06;11;14;26
18:00 23/06;19:00 23/06;11;15;28
19:00 23/06;20:00 23/06;5;6;11
20:00 23/06;21:00 23/06;8;11;20
21:00 23/06;22:00 23/06;10;13;24
22:00 23/06;23:00 23/06;10;14;26
23:00 23/06;00:00 24/06;11;15;29
00:00 24/06;01:00 24/06;11;14;27
01:00 24/06;02:00 24/06;11;16;30
02:00 24/06;03:00 24/06;12;17;33
03:00 24/06;04:00 24/06;13;18;37
04:00 24/06;05:00 24/06;13;19;41
05:00 24/06;06:00 24/06;13;18;36
06:00 24/06;07:00 24/06;13;18;38
07:00 24/06;08:00 24/06;12;17;34
08:00 24/06;09:00 24/06;11;15;29
09:00 24/06;10:00 24/06;11;16;31
10:00 24/06;11:00 24/06;5;7;13
11:00 24/06;12:00 24/06;3;4;7
12:00 24/06;13:00 24/06;9;12;23
13:00 24/06;14:00 24/06;9;12;22
14:00 24/06;15:00 24/06;10;14;26
15:00 24/06;16:00 24/06;8;10;19
16:00 24/06;17:00 24/06;7;9;17
17:00 24/06;18:00 24/06;8;10;18
18:00 24/06;19:00 24/06;8;10;18
19:00 24/06;20:00 24/06;8;10;18
20:00 24/06;21:00 24/06;9;11;20
21:00 24/06;22:00 24/06;9;12;21
22:00 24/06;23:00 24/06;6;8;15
23:00 24/06;00:00 25/06;7;8;15
00:00 25/06;01:00 25/06;10;14;25
01:00 25/06;02:00 25/06;12;16;30
02:00 25/06;03:00 25/06;11;15;27
03:00 25/06;04:00 25/06;11;16;29
04:00 25/06;05:00 25/06;11;16;29
05:00 25/06;06:00 25/06;11;15;27
06:00 25/06;07:00 25/06;11;15;27
07:00 25/06;08:00 25/06;11;15;29
08:00 25/06;09:00 25/06;11;15;29
09:00 25/06;10:00 25/06;12;17;34
10:00 25/06;11:00 25/06;10;13;24
11:00 25/06;12:00 25/06;7;9;17
12:00 25/06;13:00 25/06;9;12;21
13:00 25/06;14:00 25/06;10;13;25
14:00 25/06;15:00 25/06;9;11;21
15:00 25/06;16:00 25/06;9;12;22
16:00 25/06;17:00 25/06;8;10;18
17:00 25/06;18:00 25/06;8;10;18
18:00 25/06;19:00 25/06;8;10;19
19:00 25/06;20:00 25/06;8;11;20
20:00 25/06;21:00 25/06;8;11;20
21:00 25/06;22:00 25/06;9;12;21
22:00 25/06;23:00 25/06;9;12;22
23:00 25/06;00:00 26/06;9;12;22
00:00 26/06;01:00 26/06;5;6;11
01:00 26/06;02:00 26/06;3;4;7
02:00 26/06;03:00 26/06;3;4;7
03:00 26/06;04:00 26/06;3;5;9
04:00 26/06;05:00 26/06;4;5;10
05:00 26/06;06:00 26/06;4;6;11
06:00 26/06;07:00 26/06;4;5;10
07:00 26/06;08:00 26/06;5;6;11
08:00 26/06;09:00 26/06;5;6;11
09:00 26/06;10:00 26/06;4;5;10
10:00 26/06;11:00 26/06;3;4;8
11:00 26/06;12:00 26/06;3;4;7
12:00 26/06;13:00 26/06;4;5;9
13:00 26/06;14:00 26/06;3;4;7
14:00 26/06;15:00 26/06;3;4;7
15:00 26/06;16:00 26/06;3;4;8
16:00 26/06;17:00 26/06;5;7;12
17:00 26/06;18:00 26/06;5;7;13
18:00 26/06;19:00 26/06;6;8;14
19:00 26/06;20:00 26/06;6;8;14
20:00 26/06;21:00 26/06;7;8;15
21:00 26/06;22:00 26/06;6;7;13
22:00 26/06;23:00 26/06;5;7;12
23:00 26/06;00:00 27/06;6;7;13
00:00 27/06;01:00 27/06;7;9;17
01:00 27/06;02:00 27/06;6;8;14
02:00 27/06;03:00 27/06;5;7;12
03:00 27/06;04:00 27/06;4;5;9
04:00 27/06;05:00 27/06;4;5;8
05:00 27/06;06:00 27/06;2;3;5
06:00 27/06;07:00 27/06;3;3;6
07:00 27/06;08:00 27/06;6;7;13
08:00 27/06;09:00 27/06;7;9;16
09:00 27/06;10:00 27/06;8;11;19
10:00 27/06;11:00 27/06;10;13;24
11:00 27/06;12:00 27/06;10;14;25
12:00 27/06;13:00 27/06;10;13;24
13:00 27/06;14:00 27/06;10;12;23
14:00 27/06;15:00 27/06;8;10;18
15:00 27/06;16:00 27/06;8;10;18
16:00 27/06;17:00 27/06;8;10;18
17:00 27/06;18:00 27/06;8;10;19
18:00 27/06;19:00 27/06;9;11;20
19:00 27/06;20:00 27/06;9;11;20
20:00 27/06;21:00 27/06;9;11;20
21:00 27/06;22:00 27/06;9;11;19
22:00 27/06;23:00 27/06;8;11;19
23:00 27/06;00:00 28/06;7;8;15
00:00 28/06;01:00 28/06;7;9;15
01:00 28/06;02:00 28/06;7;8;15
02:00 28/06;03:00 28/06;7;8;14
03:00 28/06;04:00 28/06;7;9;16
04:00 28/06;05:00 28/06;6;8;14
05:00 28/06;06:00 28/06;5;7;12
06:00 28/06;07:00 28/06;5;6;10
07:00 28/06;08:00 28/06;5;6;10
08:00 28/06;09:00 28/06;9;11;20
09:00 28/06;10:00 28/06;10;13;24
10:00 28/06;11:00 28/06;11;16;30
11:00 28/06;12:00 28/06;11;15;29
12:00 28/06;13:00 28/06;10;14;26
13:00 28/06;14:00 28/06;10;13;24
14:00 28/06;15:00 28/06;9;12;22
15:00 28/06;16:00 28/06;8;10;17
16:00 28/06;17:00 28/06;7;9;16
17:00 28/06;18:00 28/06;6;8;14
18:00 28/06;19:00 28/06;7;8;15
19:00 28/06;20:00 28/06;6;8;14
20:00 28/06;21:00 28/06;6;7;13
21:00 28/06;22:00 28/06;8;9;17
22:00 28/06;23:00 28/06;8;10;18
23:00 28/06;00:00 29/06;7;9;15
00:00 29/06;01:00 29/06;3;4;8
01:00 29/06;02:00 29/06;1;2;3
02:00 29/06;03:00 29/06;0;0;0
03:00 29/06;04:00 29/06;0;0;0
04:00 29/06;05:00 29/06;0;0;1
05:00 29/06;06:00 29/06;2;2;4
06:00 29/06;07:00 29/06;3;3;6
07:00 29/06;08:00 29/06;5;6;11
08:00 29/06;09:00 29/06;6;7;13
09:00 29/06;10:00 29/06;6;8;14
10:00 29/06;11:00 29/06;7;8;15
11:00 29/06;12:00 29/06;9;11;21
12:00 29/06;13:00 29/06;9;11;20
13:00 29/06;14:00 29/06;8;10;18
14:00 29/06;15:00 29/06;7;9;15
15:00 29/06;16:00 29/06;6;7;12
16:00 29/06;17:00 29/06;6;7;13
17:00 29/06;18:00 29/06;6;7;13
18:00 29/06;19:00 29/06;6;7;12
19:00 29/06;20:00 29/06;6;8;14
20:00 29/06;21:00 29/06;6;8;14
21:00 29/06;22:00 29/06;7;9;16
22:00 29/06;23:00 29/06;8;10;18
23:00 29/06;00:00 30/06;9;12;21
00:00 30/06;01:00 30/06;9;11;20
01:00 30/06;02:00 30/06;8;9;17
02:00 30/06;03:00 30/06;8;10;18
03:00 30/06;04:00 30/06;9;12;21
04:00 30/06;05:00 30/06;8;11;19
05:00 30/06;06:00 30/06;9;11;20
06:00 30/06;07:00 30/06;9;11;20
07:00 30/06;08:00 30/06;8;10;18
08:00 30/06;09:00 30/06;10;13;24
