,windspeed,direction
2022-05-22 22:00:00,1.79,241.62
2022-05-22 23:00:00,3.79,224.18
2022-05-23 00:00:00,2.33,206.15
2022-05-23 01:00:00,1.4,192.88
2022-05-23 02:00:00,4.57,219.3
2022-05-23 03:00:00,2.64,180.38
2022-05-23 04:00:00,0.7,71.32
2022-05-23 05:00:00,0.32,157.45
2022-05-23 06:00:00,0.37,161.85
2022-05-23 07:00:00,1.09,161.3
2022-05-23 08:00:00,1.09,70.65
2022-05-23 09:00:00,1.55,82.35
2022-05-23 10:00:00,1.74,71.85
2022-05-23 11:00:00,1.98,68.0
2022-05-23 12:00:00,3.04,71.98
2022-05-23 13:00:00,3.08,83.33
2022-05-23 14:00:00,2.82,67.72
2022-05-23 15:00:00,3.1,152.73
2022-05-23 16:00:00,5.35,223.23
2022-05-23 17:00:00,2.9,227.25
2022-05-23 18:00:00,1.91,116.53
2022-05-23 19:00:00,0.55,132.92
2022-05-23 20:00:00,0.65,85.3
2022-05-23 21:00:00,0.68,158.43
2022-05-23 22:00:00,1.01,251.95
2022-05-23 23:00:00,0.67,251.88
2022-05-24 00:00:00,0.18,239.0
2022-05-24 01:00:00,0.78,242.2
2022-05-24 02:00:00,0.58,253.6
2022-05-24 03:00:00,0.72,240.18
2022-05-24 04:00:00,0.75,239.17
2022-05-24 05:00:00,0.75,247.07
2022-05-24 06:00:00,0.24,240.0
2022-05-24 07:00:00,0.55,254.6
2022-05-24 08:00:00,1.3,69.25
2022-05-24 09:00:00,1.51,75.0
2022-05-24 10:00:00,2.99,73.68
2022-05-24 11:00:00,3.27,62.9
2022-05-24 12:00:00,2.73,63.83
2022-05-24 13:00:00,4.58,74.78
2022-05-24 14:00:00,4.16,68.93
2022-05-24 15:00:00,4.31,84.05
2022-05-24 16:00:00,4.28,67.98
2022-05-24 17:00:00,3.95,76.4
2022-05-24 18:00:00,4.89,65.23
2022-05-24 19:00:00,3.37,53.33
2022-05-24 20:00:00,2.4,94.03
2022-05-24 21:00:00,4.04,229.28
2022-05-24 22:00:00,1.96,155.95
2022-05-24 23:00:00,0.75,126.93
2022-05-25 00:00:00,0.64,164.62
2022-05-25 01:00:00,0.64,162.08
2022-05-25 02:00:00,1.17,239.43
2022-05-25 03:00:00,0.29,235.28
2022-05-25 04:00:00,0.44,242.1
2022-05-25 05:00:00,0.58,247.85
2022-05-25 06:00:00,0.22,254.73
2022-05-25 07:00:00,0.36,288.17
2022-05-25 08:00:00,0.7,67.87
2022-05-25 09:00:00,1.34,63.82
2022-05-25 10:00:00,2.54,68.18
2022-05-25 11:00:00,2.94,71.27
2022-05-25 12:00:00,2.25,81.43
2022-05-25 13:00:00,2.66,84.72
2022-05-25 14:00:00,4.97,78.97
2022-05-25 15:00:00,4.0,71.15
2022-05-25 16:00:00,3.12,83.08
2022-05-25 17:00:00,3.05,85.35
2022-05-25 18:00:00,3.15,90.02
2022-05-25 19:00:00,2.88,77.13
2022-05-25 20:00:00,2.32,158.33
2022-05-25 21:00:00,1.17,221.45
2022-05-25 22:00:00,1.57,211.32
2022-05-25 23:00:00,3.05,198.48
2022-05-26 00:00:00,2.36,93.83
2022-05-26 01:00:00,1.44,215.22
2022-05-26 02:00:00,0.41,257.33
2022-05-26 03:00:00,0.61,246.37
2022-05-26 04:00:00,0.48,242.28
2022-05-26 05:00:00,0.8,242.37
2022-05-26 06:00:00,0.82,245.0
2022-05-26 07:00:00,0.41,236.47
2022-05-26 08:00:00,1.27,73.85
2022-05-26 09:00:00,1.99,72.9
2022-05-26 10:00:00,1.95,74.58
2022-05-26 11:00:00,1.88,81.45
2022-05-26 12:00:00,1.57,78.23
2022-05-26 13:00:00,3.47,68.55
2022-05-26 14:00:00,4.59,75.02
2022-05-26 15:00:00,2.86,82.25
2022-05-26 16:00:00,2.5,70.83
2022-05-26 17:00:00,2.44,73.98
2022-05-26 18:00:00,2.18,90.73
2022-05-26 19:00:00,1.91,100.18
2022-05-26 20:00:00,1.4,91.18
2022-05-26 21:00:00,0.96,92.45
2022-05-26 22:00:00,0.7,190.2
2022-05-26 23:00:00,0.42,239.78
2022-05-27 00:00:00,0.58,256.83
2022-05-27 01:00:00,0.66,241.67
2022-05-27 02:00:00,0.77,188.52
2022-05-27 03:00:00,0.93,218.85
2022-05-27 04:00:00,1.09,257.78
2022-05-27 05:00:00,0.88,260.9
2022-05-27 06:00:00,0.44,260.57
2022-05-27 07:00:00,0.73,262.98
2022-05-27 08:00:00,1.11,65.38
2022-05-27 09:00:00,1.73,66.48
2022-05-27 10:00:00,1.78,55.85
2022-05-27 11:00:00,2.05,73.77
2022-05-27 12:00:00,2.08,85.5
2022-05-27 13:00:00,2.78,67.92
2022-05-27 14:00:00,3.8,71.02
2022-05-27 15:00:00,3.69,79.08
2022-05-27 16:00:00,4.52,72.93
2022-05-27 17:00:00,5.73,65.53
2022-05-27 18:00:00,6.36,63.2
2022-05-27 19:00:00,4.94,69.7
2022-05-27 20:00:00,1.72,102.4
2022-05-27 21:00:00,0.57,181.62
2022-05-27 22:00:00,3.21,182.62
2022-05-27 23:00:00,1.54,58.45
2022-05-28 00:00:00,1.35,93.42
2022-05-28 01:00:00,0.74,83.2
2022-05-28 02:00:00,0.67,154.07
2022-05-28 03:00:00,0.6,272.85
2022-05-28 04:00:00,0.16,306.87
2022-05-28 05:00:00,0.46,251.5
2022-05-28 06:00:00,0.6,238.33
2022-05-28 07:00:00,0.61,186.15
2022-05-28 08:00:00,1.36,73.73
2022-05-28 09:00:00,2.33,64.58
2022-05-28 10:00:00,1.94,77.52
2022-05-28 11:00:00,1.97,78.12
2022-05-28 12:00:00,2.75,69.1
2022-05-28 13:00:00,3.56,64.82
2022-05-28 14:00:00,2.69,70.07
2022-05-28 15:00:00,4.13,76.95
2022-05-28 16:00:00,2.16,78.35
2022-05-28 17:00:00,2.7,67.27
2022-05-28 18:00:00,1.98,100.07
2022-05-28 19:00:00,2.08,88.52
2022-05-28 20:00:00,2.05,82.38
2022-05-28 21:00:00,1.5,81.43
2022-05-28 22:00:00,1.62,84.93
2022-05-28 23:00:00,0.65,102.08
2022-05-29 00:00:00,0.71,206.27
2022-05-29 01:00:00,0.86,271.58
2022-05-29 02:00:00,0.36,232.72
2022-05-29 03:00:00,1.2,165.37
2022-05-29 04:00:00,1.75,80.8
2022-05-29 05:00:00,0.7,231.63
2022-05-29 06:00:00,0.71,245.95
2022-05-29 07:00:00,1.14,291.37
2022-05-29 08:00:00,1.58,81.57
2022-05-29 09:00:00,2.81,69.67
2022-05-29 10:00:00,2.67,64.45
2022-05-29 11:00:00,3.63,65.02
2022-05-29 12:00:00,4.37,69.3
2022-05-29 13:00:00,5.59,71.12
2022-05-29 14:00:00,5.21,64.7
2022-05-29 15:00:00,4.13,76.63
2022-05-29 16:00:00,2.77,79.75
2022-05-29 17:00:00,6.61,71.25
2022-05-29 18:00:00,3.44,123.13
2022-05-29 19:00:00,1.37,252.8
2022-05-29 20:00:00,0.76,289.45
2022-05-29 21:00:00,0.9,224.57
2022-05-29 22:00:00,1.12,245.78
2022-05-29 23:00:00,0.75,240.5
2022-05-30 00:00:00,0.78,259.68
2022-05-30 01:00:00,0.38,253.83
2022-05-30 02:00:00,0.44,263.17
2022-05-30 03:00:00,0.79,226.3
2022-05-30 04:00:00,0.6,119.82
2022-05-30 05:00:00,0.63,203.65
2022-05-30 06:00:00,0.63,157.17
2022-05-30 07:00:00,1.38,118.8
2022-05-30 08:00:00,2.19,65.62
2022-05-30 09:00:00,2.71,84.12
2022-05-30 10:00:00,2.31,107.55
2022-05-30 11:00:00,3.36,126.95
2022-05-30 12:00:00,3.31,119.55
2022-05-30 13:00:00,4.03,91.83
2022-05-30 14:00:00,6.1,68.8
2022-05-30 15:00:00,4.66,45.42
2022-05-30 16:00:00,4.53,63.08
2022-05-30 17:00:00,3.58,67.05
2022-05-30 18:00:00,3.7,69.7
2022-05-30 19:00:00,4.03,74.58
2022-05-30 20:00:00,3.09,83.98
2022-05-30 21:00:00,1.56,281.5
2022-05-30 22:00:00,1.21,254.02
2022-05-30 23:00:00,1.04,243.7
2022-05-31 00:00:00,0.5,249.3
2022-05-31 01:00:00,0.38,248.33
2022-05-31 02:00:00,0.9,248.42
2022-05-31 03:00:00,0.67,282.22
2022-05-31 04:00:00,1.01,248.25
2022-05-31 05:00:00,0.39,242.87
2022-05-31 06:00:00,0.6,254.07
2022-05-31 07:00:00,1.08,301.52
