,no2_aemv,no2_wemv,ox_aemv,ox_wemv,temperature,humidity,pressure,pm_10,pm_2_5,pm_1_0,co,o3_ppb,no2_ppb,no2pluso3_ppb,co_μg/m3
2022-06-14 14:00:00,226.0,239.0,227.0,248.0,20.319443,100.0,1010.67993,47.0,29.0,12.0,449.0,-34.890711555803676,95.89041095890411,60.999699403100436,521.1938731526594
2022-06-14 15:00:00,230.5,242.5,231.0,246.0,21.165971,100.0,1009.5724700000001,62.5,38.0,15.5,593.5,-56.064542448576475,94.17808219178082,34.14351354833167,685.2147710784106
2022-06-14 16:00:00,231.0,234.0,234.0,242.0,25.463608,76.08651,1009.4724,48.0,30.0,12.0,490.0,-48.55713488212307,61.64383561643836,16.352471335938503,557.718672819453
2022-06-14 17:00:00,229.0,235.5,233.0,240.0,25.705695,77.67784499999999,1009.60643,76.0,45.5,19.0,782.0,-57.75110576716623,73.63013698630138,14.636921887748525,891.1508886081531
2022-06-14 18:00:00,230.0,238.0,234.0,242.0,25.005833,84.95757,1010.00586,73.0,44.0,18.0,812.0,-66.5800661313179,82.19178082191782,13.861811311031914,926.5908785798867
2022-06-14 19:00:00,229.5,237.0,234.0,238.5,24.15,91.972535,1010.38545,85.5,51.5,21.5,1004.5,-69.53235710911667,75.34246575342466,4.609868166788345,1151.2258878559433
2022-06-14 20:00:00,230.0,235.0,235.0,236.0,23.338612,97.80927,1011.31085,89.0,55.0,22.0,1200.0,-74.23455146648345,68.4931506849315,-7.570747627431629,1379.3584820654928
2022-06-14 21:00:00,230.5,233.0,234.5,233.0,23.6873625,78.744225,1011.386615,65.5,40.0,16.5,662.5,-68.55434362519861,59.93150684931507,-8.833254605573927,760.4704350270558
2022-06-14 22:00:00,230.0,233.0,234.0,233.0,23.61945,83.18072,1011.80066,76.0,46.0,19.0,795.0,-70.36973418645597,61.64383561643836,-7.051144415339039,913.129808020962
2022-06-14 23:00:00,229.0,232.5,233.0,233.5,22.526671,92.52574,1012.08844,84.5,51.0,21.0,760.5,-67.23493794821147,61.64383561643836,-4.753725254433814,877.8367287426104
2022-06-15 00:00:00,229.0,221.0,232.0,227.0,24.308062,56.106636,1012.1096,24.0,15.0,6.0,228.0,-24.788508609954054,20.547945205479454,-0.8159058702280255,261.47643784162443
2022-06-15 01:00:00,228.0,222.0,231.0,229.5,24.249448,52.44207,1012.17334,21.0,13.0,5.0,253.0,-21.57426890539787,30.82191780821918,10.160175205050027,290.27181600186964
2022-06-15 02:00:00,227.0,223.0,230.0,233.0,23.803337,49.883057,1012.1094,21.0,13.0,6.0,267.0,-17.054579808476845,37.67123287671233,21.136256280328077,306.58291679847844
2022-06-15 03:00:00,227.0,225.0,230.0,236.0,23.523606,50.136828,1012.5241149999999,26.0,16.0,7.0,273.5,-15.917679391935415,44.52054794520548,29.295314982608325,314.6157116240298
2022-06-15 04:00:00,226.0,227.0,230.0,238.0,23.26222,51.86545,1012.78125,31.0,20.0,8.0,297.0,-23.60973933954568,54.79452054794521,31.18478120839953,341.93607496766253
2022-06-15 05:00:00,227.0,228.0,231.0,238.0,23.878335999999997,51.797295000000005,1013.0488250000001,32.0,20.0,9.0,334.5,-25.39936445226952,53.08219178082192,27.682827328552403,383.95228643361474
2022-06-15 06:00:00,227.0,227.0,231.0,238.0,24.809721,48.527344,1013.3305,30.0,19.0,8.0,346.0,-24.054193326748845,51.369863013698634,27.31566968694979,396.6602889863918
2022-06-15 07:00:00,227.5,224.0,231.0,234.0,27.395418499999998,43.981092000000004,1013.5743500000001,29.5,18.5,8.0,329.5,-17.459312062524162,37.67123287671233,21.924249581311457,375.81729941079595
