,Unnamed: 0,no2_aemv,no2_wemv,ox_aemv,ox_wemv,temperature,humidity,pressure,pm_10,pm_2_5,pm_1_0,co,o3_ug/m3,no2_ug/m3,no2pluso3_ug/m3
1457,2022-05-23 06:00:00,229.0,229.0,233.0,234.0,21.793331,59.882812,1005.60187,50.0,29.0,12.0,456.49311012654806,-96.46877060250148,97.00762501341586,3.907348373936799
1458,2022-05-23 07:00:00,228.5,226.0,233.5,232.5,24.5609705,49.059027,1005.374235,52.0,31.0,12.5,499.5505912433238,-80.65583900227514,80.11020953831681,-2.687690084778801
1459,2022-05-23 08:00:00,229.0,224.0,234.0,234.0,25.677223,45.13859,1005.4524,35.0,21.0,9.0,391.7339777523982,-48.47984917148511,63.804566686157365,15.113358463036022
1460,2022-05-23 09:00:00,226.0,224.0,231.5,236.0,27.8933345,43.06733,1005.11793,41.0,25.0,10.5,376.2993185249435,-45.19230865968753,82.14449139193991,37.98342905490056
1461,2022-05-23 10:00:00,224.0,225.0,230.0,240.0,28.410004,44.413086,1004.5981,40.0,25.0,10.0,343.476707456272,-32.565772906219856,88.42558069004453,74.98542481283786
1462,2022-05-23 11:00:00,224.5,223.0,230.5,241.0,28.6655555,44.4397925,1004.38288,34.0,21.5,9.0,359.46849073737667,-4.407608027723784,91.46896842349794,82.4584054145183
1463,2022-05-23 12:00:00,224.0,224.0,230.0,240.0,29.217777,39.505997,1004.38824,28.0,17.0,7.0,275.35361579993173,-1.795670945368032,81.76870842287472,82.62864334612475
1464,2022-05-23 13:00:00,223.5,224.0,229.0,238.0,28.500555,36.717015,1004.61522,29.5,18.0,7.5,336.2516356717664,-23.485137441392467,94.5915767173798,66.72375826293455
1465,2022-05-23 14:00:00,225.0,233.0,229.0,246.0,25.38528,57.332138,1004.7808,31.0,19.0,8.0,458.7444793537264,-53.24144741026891,146.7187226202976,89.27687227653901
1466,2022-05-23 15:00:00,227.5,233.5,231.5,243.5,24.7326365,61.5478515,1004.73401,34.5,21.0,9.0,490.1985471162752,-77.9890228600287,140.57271319689212,63.28547023453646
1467,2022-05-23 16:00:00,227.0,233.0,232.0,241.0,25.805,62.915718,1004.33777,50.0,30.0,13.0,613.7120082280379,-100.3872240711028,126.91261471442516,34.99417128622177
1468,2022-05-23 17:00:00,226.5,230.0,233.0,237.5,26.4554155,57.3612465,1004.504175,50.5,31.0,13.0,518.9899549848975,-94.0715704673059,117.34242221872276,22.499222468507316
1469,2022-05-23 18:00:00,226.0,234.0,232.0,242.0,24.726109,75.41659,1004.7464,65.0,40.0,16.0,587.7691027042194,-108.92853178235234,147.05155090866737,35.19639212071624
1470,2022-05-23 19:00:00,228.0,234.0,233.0,238.0,24.5925,73.14713499999999,1005.16688,69.5,42.5,18.0,999.353624852136,-136.04643601926642,140.65313895139565,1.3169813718467154
1471,2022-05-23 20:00:00,227.0,233.0,233.0,236.0,22.799168,72.83032,1005.55817,71.0,43.0,18.0,1092.038860363692,-137.568405365237,134.90362026865935,-5.6782256416238965
1472,2022-05-23 21:00:00,228.0,233.0,234.0,235.5,22.5083325,77.2516125,1005.748435,81.0,49.0,20.5,879.7699295796224,-139.00766042899843,128.90416680702168,-11.497997051299194
1473,2022-05-23 22:00:00,228.0,232.0,234.0,234.0,22.462774,77.3418,1005.798,75.0,46.0,19.0,945.947962387366,-138.85379614116047,122.54152345023596,-22.302637542235743
1474,2022-05-23 23:00:00,228.0,231.5,234.0,234.0,21.881666,79.3647725,1005.872895,72.0,43.5,18.0,660.3721500587926,-138.60607706819985,119.58995298888304,-19.2016239668663
1475,2022-05-24 00:00:00,228.0,229.0,234.0,231.0,22.044724,74.49821,1005.52216,68.0,42.0,18.0,493.0076653860145,-121.19576965542473,103.29696081877424,-18.91119737768986
1476,2022-05-24 01:00:00,228.0,228.0,233.0,231.0,21.645693,76.02850000000001,1005.5,67.0,41.0,17.0,457.7656242628888,-111.56945245643736,97.06253584387208,-14.614269824931462
1477,2022-05-24 02:00:00,228.0,229.0,233.0,233.0,20.711388,82.05816,1005.5271,69.0,42.0,17.0,426.61016958709655,-109.2540709446576,103.76682708444228,-5.441651187452521
1478,2022-05-24 03:00:00,228.0,231.0,233.0,233.0,20.7356985,83.668892,1005.62193,71.5,43.0,17.5,618.2277956623811,-126.61700331557503,113.49464826831762,-11.77538083367591
1479,2022-05-24 04:00:00,229.0,231.0,234.0,233.0,21.154446,86.267334,1005.99664,120.0,73.0,31.0,837.3931963179425,-135.34295214249713,110.14201394449957,-22.294384768227477
1480,2022-05-24 05:00:00,230.0,229.5,235.0,232.0,21.93528,80.2268875,1006.56228,125.5,75.5,31.0,889.4595469336414,-126.27771267048767,96.79532608113644,-27.830988333466664
1481,2022-05-24 06:00:00,229.0,230.0,234.0,235.0,22.488054,79.06049,1007.21106,111.0,66.0,27.0,624.5024567823227,-95.3573822706091,96.79091801378588,-3.567873777464129
1482,2022-05-24 07:00:00,230.0,226.0,235.0,231.5,24.105414,73.21143749999999,1007.358475,94.5,56.5,22.5,500.5615244688054,-85.20880559133789,70.65361984212461,-19.6654001605626
1483,2022-05-24 08:00:00,228.0,224.0,232.0,235.0,25.057503,63.177326,1007.4509,81.0,49.0,20.0,381.7860185889087,-55.76183495935807,70.43366439977781,27.6715107984774
1484,2022-05-24 09:00:00,228.0,229.0,233.5,240.0,25.542777,67.27134699999999,1007.732075,60.5,37.0,15.5,457.77817447460137,-55.83432107673954,102.29168420234276,45.01731955942862
1485,2022-05-24 10:00:00,229.0,226.0,234.0,237.0,27.18389,59.40134,1007.82007,51.0,31.0,13.0,443.6476609336985,-54.06395032236783,82.68043293256551,28.276087440871315
1486,2022-05-24 11:00:00,229.0,226.0,233.0,240.5,27.0887495,57.0120295,1007.55475,46.5,28.5,12.0,482.9731179250061,-36.56826456147466,82.59998060132263,50.70556274525365
1487,2022-05-24 12:00:00,226.0,227.0,231.0,240.0,28.212776,55.19477,1007.04126,46.0,28.0,12.0,599.4368859782295,-40.36177101049957,94.99336139292828,51.66539391562856
1488,2022-05-24 13:00:00,226.5,229.5,231.0,245.0,26.841529,60.86625,1006.82855,52.5,33.0,14.0,519.5603910690097,-35.517661741650855,117.72096837211572,78.00953933448692
1489,2022-05-24 14:00:00,227.0,228.0,231.0,244.0,27.243612,54.713352,1006.6786,47.0,29.0,13.0,479.91097716239625,-25.711144850086683,107.9766252970125,76.08187036686802
1490,2022-05-24 15:00:00,226.0,229.0,231.0,244.5,26.78861,55.6768535,1006.60705,46.0,28.0,12.0,558.5914864196502,-36.80647323366553,111.36422775103446,75.31142999319154
1491,2022-05-24 16:00:00,226.0,229.0,231.0,245.0,26.220276,56.06535,1006.63043,48.0,29.0,13.0,464.4048903978908,-32.564115839418704,114.76156880580665,85.13689110150787
1492,2022-05-24 17:00:00,226.0,230.0,231.0,244.0,25.470971,56.069283,1007.20523,49.5,30.5,13.0,505.56467111594975,-38.74411083918348,121.45407592424976,76.28735751516078
1493,2022-05-24 18:00:00,226.0,232.0,231.0,246.0,24.344168,62.543865,1009.0088,48.0,30.0,13.0,459.4267926723318,-49.254169264251765,134.99529585944163,85.74112659518985
1494,2022-05-24 19:00:00,227.0,233.5,231.5,245.0,23.714447,67.346585,1007.966005,55.5,34.0,14.5,500.08747441331457,-56.40835935531829,135.07103563068983,68.97958293851113
