,co_μg/m3 (Kastom),NO2_ppb (Kastom)
2022-06-29 03:00:00,312.17469660393,56.50684931506849
2022-06-29 04:00:00,491.21897665741415,65.06849315068493
2022-06-29 05:00:00,538.4341544748577,47.945205479452056
2022-06-29 06:00:00,341.906936342008,44.52054794520548
2022-06-29 07:00:00,286.5637708206116,37.67123287671233
2022-06-29 08:00:00,349.8200266599368,47.945205479452056
2022-06-29 09:00:00,615.6694781540515,71.91780821917808
2022-06-29 10:00:00,439.9179716027117,47.945205479452056
2022-06-29 11:00:00,308.20229941288073,41.43835616438356
2022-06-29 12:00:00,299.3653000039646,26.71232876712329
2022-06-29 13:00:00,372.0955743350209,31.506849315068493
2022-06-29 14:00:00,390.09063796063634,28.082191780821915
2022-06-29 15:00:00,354.0750378789693,39.38356164383562
2022-06-29 16:00:00,302.94940991528915,30.136986301369863
2022-06-29 17:00:00,344.0780141482137,23.287671232876715
2022-06-29 18:00:00,414.4672998177584,36.98630136986302
2022-06-29 19:00:00,451.6171581838055,66.78082191780823
2022-06-29 20:00:00,516.59352689683,78.76712328767124
2022-06-29 21:00:00,486.80160527608695,70.20547945205479
2022-06-29 22:00:00,497.62039477044266,65.06849315068493
2022-06-29 23:00:00,376.387022699152,54.79452054794521
2022-06-30 00:00:00,491.5342883794474,65.06849315068493
2022-06-30 01:00:00,485.71497926702426,63.35616438356165
2022-06-30 02:00:00,356.60720448382045,58.21917808219178
2022-06-30 03:00:00,474.379536023629,66.78082191780823
2022-06-30 04:00:00,659.2837816380769,71.91780821917808
2022-06-30 05:00:00,758.9093039944954,61.64383561643836
2022-06-30 06:00:00,535.5423570229651,51.36986301369864
2022-06-30 07:00:00,553.0915334434425,47.945205479452056
2022-06-30 08:00:00,505.7446700883658,47.945205479452056
2022-06-30 09:00:00,457.3111236689988,18.15068493150685
2022-06-30 10:00:00,205.8039043507724,-12.32876712328767
2022-06-30 11:00:00,360.5918780534978,19.178082191780824
2022-06-30 12:00:00,447.085474031703,26.02739726027397
2022-06-30 13:00:00,414.3597975079306,33.21917808219178
2022-06-30 14:00:00,432.3709935278835,30.136986301369863
2022-06-30 15:00:00,543.550841886617,34.93150684931507
2022-06-30 16:00:00,438.2601358537726,33.21917808219178
2022-06-30 17:00:00,593.0948286843808,54.10958904109589
2022-06-30 18:00:00,560.1512406184412,60.95890410958905
2022-06-30 19:00:00,595.5278669844458,61.3013698630137
2022-06-30 20:00:00,692.2183348065015,71.91780821917808
2022-06-30 21:00:00,723.6007383975935,75.34246575342466
2022-06-30 22:00:00,920.3646301874768,75.34246575342466
2022-06-30 23:00:00,671.4820668299241,73.63013698630138
2022-07-01 00:00:00,477.3185613165077,58.21917808219178
2022-07-01 01:00:00,440.1424163923479,54.79452054794521
2022-07-01 02:00:00,474.6471014541823,61.64383561643836
2022-07-01 03:00:00,607.9624916773776,68.4931506849315
2022-07-01 04:00:00,756.2765980780048,61.64383561643836
2022-07-01 05:00:00,734.4247178889037,65.06849315068493
2022-07-01 06:00:00,613.659092803417,58.21917808219178
2022-07-01 07:00:00,600.0994961407547,75.34246575342466
2022-07-01 08:00:00,478.6957556555269,47.945205479452056
2022-07-01 09:00:00,328.2613694972438,19.17808219178082
2022-07-01 10:00:00,408.1276999518353,28.76712328767124
2022-07-01 11:00:00,397.5511744185976,32.87671232876713
2022-07-01 12:00:00,350.06371128183275,30.82191780821918
2022-07-01 13:00:00,418.7940519386163,44.52054794520548
2022-07-01 14:00:00,407.86843878847816,51.36986301369864
2022-07-01 15:00:00,437.46449393109225,47.945205479452056
