Datetime,H2S (ppb)
2022-06-28 00:00:00,15.61
2022-06-28 01:00:00,13.95
2022-06-28 02:00:00,9.88
2022-06-28 03:00:00,3.12
2022-06-28 04:00:00,6.13
2022-06-28 05:00:00,12.07
2022-06-28 06:00:00,23.14
2022-06-28 07:00:00,22.38
2022-06-28 08:00:00,17.71
2022-06-28 09:00:00,12.71
2022-06-28 10:00:00,1.99
2022-06-28 11:00:00,0.0
2022-06-28 12:00:00,0.0
2022-06-28 13:00:00,1.07
2022-06-28 14:00:00,2.99
2022-06-28 15:00:00,4.61
2022-06-28 16:00:00,6.22
2022-06-28 17:00:00,2.66
2022-06-28 18:00:00,2.75
2022-06-28 19:00:00,7.13
2022-06-28 20:00:00,24.33
2022-06-28 21:00:00,35.9
2022-06-28 22:00:00,29.12
2022-06-28 23:00:00,39.26
2022-06-29 00:00:00,24.82
2022-06-29 01:00:00,15.76
2022-06-29 02:00:00,28.54
2022-06-29 03:00:00,24.04
2022-06-29 04:00:00,12.18
2022-06-29 05:00:00,6.6
2022-06-29 06:00:00,9.06
2022-06-29 07:00:00,8.93
2022-06-29 08:00:00,0.0
2022-06-29 09:00:00,0.03
2022-06-29 10:00:00,0.3
2022-06-29 11:00:00,14.24
2022-06-29 12:00:00,8.53
2022-06-29 13:00:00,5.63
2022-06-29 14:00:00,2.68
2022-06-29 15:00:00,0.76
2022-06-29 16:00:00,3.09
2022-06-29 17:00:00,9.44
2022-06-29 18:00:00,10.25
2022-06-29 19:00:00,5.58
2022-06-29 20:00:00,21.49
2022-06-29 21:00:00,30.69
2022-06-29 22:00:00,35.47
2022-06-29 23:00:00,32.17
2022-06-30 00:00:00,21.83
2022-06-30 01:00:00,8.24
2022-06-30 02:00:00,11.75
2022-06-30 03:00:00,17.26
2022-06-30 04:00:00,8.58
2022-06-30 05:00:00,11.25
2022-06-30 06:00:00,30.87
2022-06-30 07:00:00,35.8
2022-06-30 08:00:00,23.14
2022-06-30 09:00:00,16.18
2022-06-30 10:00:00,4.5
2022-06-30 11:00:00,0.38
2022-06-30 12:00:00,0.0
2022-06-30 13:00:00,1.74
2022-06-30 14:00:00,9.25
2022-06-30 15:00:00,13.7
2022-06-30 16:00:00,20.21
2022-06-30 17:00:00,18.35
2022-06-30 18:00:00,18.9
2022-06-30 19:00:00,44.3
2022-06-30 20:00:00,44.44
2022-06-30 21:00:00,35.23
2022-06-30 22:00:00,26.61
2022-06-30 23:00:00,23.93
2022-07-01 00:00:00,28.72
2022-07-01 01:00:00,25.12
2022-07-01 02:00:00,8.67
2022-07-01 03:00:00,7.29
2022-07-01 04:00:00,9.33
2022-07-01 05:00:00,22.26
2022-07-01 06:00:00,22.17
2022-07-01 07:00:00,22.08
2022-07-01 08:00:00,12.82
2022-07-01 09:00:00,29.51
2022-07-01 10:00:00,7.47
2022-07-01 11:00:00,0.0
2022-07-01 12:00:00,0.78
2022-07-01 13:00:00,4.56
2022-07-01 14:00:00,8.43
2022-07-01 15:00:00,14.05
2022-07-01 16:00:00,19.28
2022-07-01 17:00:00,20.45
2022-07-01 18:00:00,21.63
2022-07-01 19:00:00,2.55
2022-07-01 20:00:00,1.19
2022-07-01 21:00:00,18.55
2022-07-01 22:00:00,47.85
2022-07-01 23:00:00,29.37
2022-07-02 00:00:00,22.18
2022-07-02 01:00:00,16.09
2022-07-02 02:00:00,7.04
2022-07-02 03:00:00,0.91
2022-07-02 04:00:00,7.98
2022-07-02 05:00:00,12.04
2022-07-02 06:00:00,24.05
2022-07-02 07:00:00,20.81
