Device;Datetime;"Dew Point (C)";"H2S GCC (ppb)";"Humidity ext (%)";"NO2 GCc (ppb)";"O3 GCc (ppb)";"Pressure (hPa)";"TSP (ug/m3)";"Temp ext (C)";
"K-A3 GRECiOT 1";2022-05-20 06:52:28;6,24;13,90;55,52;47,07;0,00;1024,37;15,55;15,08;
"K-A3 GRECiOT 1";2022-05-20 06:47:25;6,28;12,09;55,81;43,63;0,00;1024,35;11,19;15,05;
"K-A3 GRECiOT 1";2022-05-20 06:42:27;6,18;10,47;55,46;44,94;0,00;1024,33;15,81;15,04;
"K-A3 GRECiOT 1";2022-05-20 06:37:25;6,05;7,26;54,98;42,79;0,00;1024,29;14,81;15,04;
"K-A3 GRECiOT 1";2022-05-20 06:32:27;6,17;8,86;55,63;41,89;0,00;1024,29;11,61;14,98;
"K-A3 GRECiOT 1";2022-05-20 06:27:26;6,06;5,16;55,52;39,74;0,00;1024,27;11,98;14,90;
"K-A3 GRECiOT 1";2022-05-20 06:22:25;6,25;9,02;56,55;43,26;0,00;1024,25;10,31;14,81;
"K-A3 GRECiOT 1";2022-05-20 06:17:28;5,92;5,79;55,32;40,40;0,00;1024,25;8,92;14,80;
"K-A3 GRECiOT 1";2022-05-20 06:12:24;6,15;3,41;56,20;35,46;0,00;1024,21;9,40;14,80;
"K-A3 GRECiOT 1";2022-05-20 06:07:27;6,07;4,31;56,09;37,17;0,00;1024,29;9,95;14,74;
"K-A3 GRECiOT 1";2022-05-20 06:02:25;5,88;3,89;55,52;37,10;0,00;1024,24;8,55;14,70;
"K-A3 GRECiOT 1";2022-05-20 05:57:28;6,06;5,96;56,25;39,30;0,00;1024,21;10,74;14,68;
"K-A3 GRECiOT 1";2022-05-20 05:52:27;6,13;6,94;56,57;34,54;0,00;1024,21;6,84;14,67;
"K-A3 GRECiOT 1";2022-05-20 05:47:26;5,95;7,83;55,78;30,18;4,82;1024,24;8,16;14,70;
"K-A3 GRECiOT 1";2022-05-20 05:42:26;5,87;6,02;55,32;29,17;8,70;1024,32;7,26;14,74;
"K-A3 GRECiOT 1";2022-05-20 05:37:24;5,81;7,91;55,25;33,55;4,05;1024,24;11,42;14,70;
"K-A3 GRECiOT 1";2022-05-20 05:32:28;5,62;5,32;54,52;25,40;15,01;1024,25;7,35;14,70;
"K-A3 GRECiOT 1";2022-05-20 05:27:28;5,64;3,42;54,45;21,79;18,12;1024,24;6,31;14,74;
"K-A3 GRECiOT 1";2022-05-20 05:22:24;5,63;4,18;54,36;25,69;12,47;1024,18;5,72;14,75;
"K-A3 GRECiOT 1";2022-05-20 05:17:27;5,50;4,72;53,88;30,96;4,12;1024,15;7,37;14,75;
"K-A3 GRECiOT 1";2022-05-20 05:12:26;5,51;3,95;53,63;27,76;8,19;1024,10;9,25;14,84;
"K-A3 GRECiOT 1";2022-05-20 05:07:26;5,52;3,89;53,52;27,03;9,69;1024,03;7,05;14,88;
"K-A3 GRECiOT 1";2022-05-20 05:02:25;5,48;4,73;53,03;29,46;6,20;1024,02;7,90;14,98;
"K-A3 GRECiOT 1";2022-05-20 04:57:29;5,47;3,79;52,90;30,41;5,01;1024,04;7,46;15,01;
"K-A3 GRECiOT 1";2022-05-20 04:52:26;5,53;3,75;52,98;24,27;10,31;1024,10;7,53;15,05;
"K-A3 GRECiOT 1";2022-05-20 04:47:24;5,39;3,86;52,31;22,03;13,77;1024,14;5,41;15,09;
"K-A3 GRECiOT 1";2022-05-20 04:42:26;5,43;4,15;52,32;21,84;15,05;1024,12;9,64;15,14;
"K-A3 GRECiOT 1";2022-05-20 04:37:24;5,18;2,93;51,28;23,52;14,00;1024,11;7,16;15,18;
"K-A3 GRECiOT 1";2022-05-20 04:32:28;5,21;1,98;51,28;20,30;18,27;1024,10;7,15;15,21;
"K-A3 GRECiOT 1";2022-05-20 04:27:27;5,38;3,07;51,65;23,00;14,28;1024,05;7,18;15,28;
"K-A3 GRECiOT 1";2022-05-20 04:22:25;5,35;3,51;51,49;26,35;10,32;1024,10;7,33;15,29;
"K-A3 GRECiOT 1";2022-05-20 04:17:26;5,35;3,61;51,29;21,96;15,78;1024,15;7,05;15,36;
"K-A3 GRECiOT 1";2022-05-20 04:12:24;5,32;4,00;51,00;24,47;12,70;1024,07;7,72;15,42;
"K-A3 GRECiOT 1";2022-05-20 04:07:26;5,28;2,81;50,62;30,20;6,90;1024,03;6,68;15,49;
"K-A3 GRECiOT 1";2022-05-20 04:02:25;5,15;2,44;49,93;26,45;10,94;1024,04;8,72;15,56;
"K-A3 GRECiOT 1";2022-05-20 03:57:28;5,35;2,34;50,49;19,18;19,62;1023,94;9,08;15,60;
"K-A3 GRECiOT 1";2022-05-20 03:52:28;5,42;3,00;50,49;23,01;14,70;1023,92;6,30;15,69;
"K-A3 GRECiOT 1";2022-05-20 03:47:24;5,41;3,59;50,25;26,28;10,90;1023,83;6,72;15,74;
"K-A3 GRECiOT 1";2022-05-20 03:42:27;5,33;3,43;49,64;21,79;18,00;1023,84;7,54;15,84;
"K-A3 GRECiOT 1";2022-05-20 03:37:26;5,40;3,06;49,60;21,87;18,35;1023,84;7,64;15,94;
"K-A3 GRECiOT 1";2022-05-20 03:32:28;5,53;4,03;49,67;19,03;20,63;1023,89;7,60;16,05;
"K-A3 GRECiOT 1";2022-05-20 03:27:26;5,50;3,04;49,49;19,91;19,54;1023,92;8,08;16,08;
"K-A3 GRECiOT 1";2022-05-20 03:22:24;5,68;4,34;49,71;16,58;23,01;1023,89;8,10;16,21;
"K-A3 GRECiOT 1";2022-05-20 03:17:26;5,77;4,65;49,70;22,31;14,14;1023,85;8,33;16,31;
"K-A3 GRECiOT 1";2022-05-20 03:12:25;6,03;7,62;50,27;24,74;11,08;1023,87;9,01;16,41;
"K-A3 GRECiOT 1";2022-05-20 03:07:26;5,76;7,27;49,00;27,07;10,31;1023,88;11,39;16,52;
"K-A3 GRECiOT 1";2022-05-20 03:02:25;5,97;6,27;49,61;26,92;9,55;1023,89;10,37;16,55;
"K-A3 GRECiOT 1";2022-05-20 02:57:28;5,82;6,24;49,03;23,69;12,36;1023,89;7,10;16,58;
"K-A3 GRECiOT 1";2022-05-20 02:52:28;5,87;6,20;48,97;21,06;17,81;1023,86;8,73;16,65;
"K-A3 GRECiOT 1";2022-05-20 02:47:24;6,02;7,48;49,34;19,69;19,18;1023,89;9,25;16,69;
"K-A3 GRECiOT 1";2022-05-20 02:42:27;5,78;7,58;48,44;20,87;17,68;1023,88;5,47;16,72;
"K-A3 GRECiOT 1";2022-05-20 02:37:25;5,75;5,79;48,49;18,07;24,26;1023,85;8,81;16,68;
"K-A3 GRECiOT 1";2022-05-20 02:32:28;5,93;6,03;49,03;16,91;25,62;1023,86;8,63;16,69;
"K-A3 GRECiOT 1";2022-05-20 02:27:28;6,07;8,23;49,44;19,78;19,62;1023,87;7,63;16,72;
"K-A3 GRECiOT 1";2022-05-20 02:22:24;6,31;9,98;50,27;21,75;17,78;1023,94;7,19;16,72;
"K-A3 GRECiOT 1";2022-05-20 02:17:28;6,21;13,35;49,91;29,84;6,21;1024,02;8,33;16,72;
"K-A3 GRECiOT 1";2022-05-20 02:12:24;6,32;13,30;50,16;34,58;0,18;1023,98;;16,76;
"K-A3 GRECiOT 1";2022-05-20 02:07:26;6,45;13,21;50,32;31,40;4,40;1024,02;12,35;16,85;
"K-A3 GRECiOT 1";2022-05-20 02:02:25;6,43;13,66;50,08;35,02;0,00;1024,06;13,03;16,90;
"K-A3 GRECiOT 1";2022-05-20 01:57:29;6,54;15,67;50,30;37,42;0,00;1024,03;11,96;16,96;
"K-A3 GRECiOT 1";2022-05-20 01:52:26;6,57;19,43;50,21;38,49;0,00;1024,03;13,06;17,02;
"K-A3 GRECiOT 1";2022-05-20 01:47:24;6,44;15,82;49,62;34,25;0,00;1024,01;10,88;17,06;
"K-A3 GRECiOT 1";2022-05-20 01:42:27;6,38;14,44;49,33;32,05;4,65;1024,05;7,85;17,09;
"K-A3 GRECiOT 1";2022-05-20 01:37:26;6,33;14,72;48,83;34,31;2,08;1024,08;10,53;17,20;
"K-A3 GRECiOT 1";2022-05-20 01:32:28;6,59;16,03;49,30;35,66;0,00;1024,03;10,55;17,33;
"K-A3 GRECiOT 1";2022-05-20 01:27:27;6,45;18,16;48,64;38,51;0,00;1023,97;10,52;17,38;
"K-A3 GRECiOT 1";2022-05-20 01:22:25;6,38;18,25;48,27;36,58;0,00;1023,98;12,50;17,43;
"K-A3 GRECiOT 1";2022-05-20 01:17:28;6,29;19,04;47,88;38,41;0,00;1023,95;9,23;17,47;
"K-A3 GRECiOT 1";2022-05-20 01:12:24;6,22;20,60;47,42;40,02;0,00;1023,91;12,09;17,54;
"K-A3 GRECiOT 1";2022-05-20 01:07:27;6,14;19,04;46,87;37,85;0,00;1023,89;12,74;17,64;
"K-A3 GRECiOT 1";2022-05-20 01:02:25;6,08;17,44;46,47;37,08;0,00;1023,90;10,23;17,71;
"K-A3 GRECiOT 1";2022-05-20 00:57:27;5,96;13,04;46,01;26,89;13,14;1023,86;9,63;17,74;
"K-A3 GRECiOT 1";2022-05-20 00:52:27;5,90;11,91;45,81;25,27;14,30;1023,91;12,87;17,74;
"K-A3 GRECiOT 1";2022-05-20 00:47:25;5,70;11,97;45,27;26,44;14,06;1023,89;10,94;17,71;
"K-A3 GRECiOT 1";2022-05-20 00:42:27;5,71;14,75;45,17;26,61;12,82;1023,91;13,60;17,75;
"K-A3 GRECiOT 1";2022-05-20 00:37:25;5,56;15,49;44,70;30,90;8,57;1023,88;12,42;17,75;
"K-A3 GRECiOT 1";2022-05-20 00:32:27;5,39;13,66;44,26;28,79;11,28;1023,83;12,47;17,72;
"K-A3 GRECiOT 1";2022-05-20 00:27:26;5,30;11,33;44,14;31,65;7,57;1023,78;11,50;17,67;
"K-A3 GRECiOT 1";2022-05-20 00:22:25;5,25;12,13;44,15;31,95;7,08;1023,69;9,78;17,61;
"K-A3 GRECiOT 1";2022-05-20 00:17:26;5,17;11,84;44,18;29,55;10,04;1023,68;7,56;17,51;
"K-A3 GRECiOT 1";2022-05-20 00:12:24;5,30;14,82;44,74;35,79;4,16;1023,63;17,86;17,45;
"K-A3 GRECiOT 1";2022-05-20 00:07:26;5,34;22,98;44,56;45,67;0,00;1023,59;14,64;17,57;
"K-A3 GRECiOT 1";2022-05-20 00:02:25;5,17;26,19;43,93;49,63;0,00;1023,61;11,23;17,60;
"K-A3 GRECiOT 1";2022-05-19 23:57:29;5,16;25,79;43,79;50,21;0,00;1023,50;10,41;17,64;
"K-A3 GRECiOT 1";2022-05-19 23:52:26;5,11;23,82;43,63;50,15;0,00;1023,49;10,32;17,64;
"K-A3 GRECiOT 1";2022-05-19 23:47:25;5,15;27,67;43,60;53,12;0,00;1023,45;15,55;17,70;
"K-A3 GRECiOT 1";2022-05-19 23:42:27;5,25;27,24;43,59;51,98;0,00;1023,43;17,21;17,81;
"K-A3 GRECiOT 1";2022-05-19 23:37:25;5,11;30,67;42,89;53,92;0,00;1023,43;14,40;17,92;
"K-A3 GRECiOT 1";2022-05-19 23:32:28;4,98;28,69;42,31;54,76;0,00;1023,40;9,75;17,99;
"K-A3 GRECiOT 1";2022-05-19 23:27:27;4,92;26,92;41,97;52,49;0,00;1023,35;10,74;18,05;
"K-A3 GRECiOT 1";2022-05-19 23:22:25;4,73;23,56;41,37;50,57;0,00;1023,37;7,17;18,06;
"K-A3 GRECiOT 1";2022-05-19 23:17:27;5,02;22,52;41,86;50,23;0,00;1023,34;8,43;18,20;
"K-A3 GRECiOT 1";2022-05-19 23:12:25;4,95;26,08;41,25;52,77;0,00;1023,32;14,08;18,36;
"K-A3 GRECiOT 1";2022-05-19 23:07:27;4,82;20,96;40,72;50,14;0,00;1023,34;7,10;18,42;
"K-A3 GRECiOT 1";2022-05-19 23:02:25;4,59;16,24;39,96;41,43;0,00;1023,35;8,22;18,46;
"K-A3 GRECiOT 1";2022-05-19 22:57:27;4,55;19,23;39,78;47,76;0,00;1023,33;8,00;18,49;
"K-A3 GRECiOT 1";2022-05-19 22:52:27;4,54;17,43;39,30;45,98;0,00;1023,30;9,85;18,67;
"K-A3 GRECiOT 1";2022-05-19 22:47:25;4,46;11,41;38,76;37,94;2,24;1023,21;15,75;18,81;
"K-A3 GRECiOT 1";2022-05-19 22:42:27;4,79;12,37;39,13;38,22;0,80;1023,12;14,16;19,02;
"K-A3 GRECiOT 1";2022-05-19 22:37:24;4,78;15,67;38,78;43,57;0,00;1023,13;9,52;19,15;
"K-A3 GRECiOT 1";2022-05-19 22:32:27;5,24;19,72;40,00;44,04;0,00;1023,14;11,65;19,18;
"K-A3 GRECiOT 1";2022-05-19 22:27:27;5,08;17,90;39,29;39,52;0,84;1023,05;14,26;19,28;
"K-A3 GRECiOT 1";2022-05-19 22:22:25;4,98;15,98;39,04;31,84;11,69;1022,94;11,13;19,28;
"K-A3 GRECiOT 1";2022-05-19 22:17:26;4,67;17,68;38,00;41,51;0,49;1022,87;11,27;19,36;
"K-A3 GRECiOT 1";2022-05-19 22:12:25;4,53;20,48;37,42;52,71;0,00;1022,81;7,88;19,45;
"K-A3 GRECiOT 1";2022-05-19 22:07:27;4,58;20,90;37,56;52,79;0,00;1022,77;7,21;19,45;
"K-A3 GRECiOT 1";2022-05-19 22:02:25;4,56;17,21;37,47;50,16;0,00;1022,74;6,25;19,46;
"K-A3 GRECiOT 1";2022-05-19 21:57:27;4,64;12,95;37,60;43,66;0,33;1022,66;7,24;19,49;
"K-A3 GRECiOT 1";2022-05-19 21:52:26;4,67;14,63;37,59;44,19;0,55;1022,66;6,69;19,53;
"K-A3 GRECiOT 1";2022-05-19 21:47:25;4,84;13,56;37,78;35,85;11,14;1022,65;5,80;19,65;
"K-A3 GRECiOT 1";2022-05-19 21:42:27;5,19;14,98;38,33;38,23;8,13;1022,55;10,24;19,80;
"K-A3 GRECiOT 1";2022-05-19 21:37:26;5,32;17,56;38,27;41,82;3,78;1022,49;12,64;19,97;
"K-A3 GRECiOT 1";2022-05-19 21:32:27;5,53;18,99;38,56;39,72;6,42;1022,48;11,48;20,09;
"K-A3 GRECiOT 1";2022-05-19 21:27:26;5,38;21,16;38,00;39,62;7,16;1022,45;8,20;20,16;
"K-A3 GRECiOT 1";2022-05-19 21:22:25;5,48;20,24;38,29;38,93;8,51;1022,45;9,65;20,14;
"K-A3 GRECiOT 1";2022-05-19 21:17:26;5,45;19,33;37,94;35,64;13,93;1022,35;7,78;20,25;
"K-A3 GRECiOT 1";2022-05-19 21:12:25;5,41;20,71;37,61;34,15;16,05;1022,29;9,29;20,35;
"K-A3 GRECiOT 1";2022-05-19 21:07:27;5,31;20,48;36,89;33,07;17,87;1022,24;8,86;20,56;
"K-A3 GRECiOT 1";2022-05-19 21:02:24;5,14;17,56;36,02;33,82;17,86;1022,16;11,09;20,75;
"K-A3 GRECiOT 1";2022-05-19 20:57:28;4,95;14,96;35,34;24,04;31,01;1022,14;6,75;20,85;
"K-A3 GRECiOT 1";2022-05-19 20:52:27;4,78;14,98;34,92;22,86;32,45;1022,12;8,45;20,85;
"K-A3 GRECiOT 1";2022-05-19 20:47:24;4,78;15,00;34,74;20,36;36,51;1022,14;9,51;20,93;
"K-A3 GRECiOT 1";2022-05-19 20:42:27;4,77;13,06;34,65;17,43;41,32;1022,13;11,61;20,96;
"K-A3 GRECiOT 1";2022-05-19 20:37:25;4,62;12,54;34,07;16,81;41,92;1022,13;9,93;21,07;
"K-A3 GRECiOT 1";2022-05-19 20:32:27;4,67;10,75;33,79;14,19;46,14;1022,04;16,28;21,26;
"K-A3 GRECiOT 1";2022-05-19 20:27:27;4,68;11,87;33,52;15,78;44,13;1022,04;8,98;21,40;
"K-A3 GRECiOT 1";2022-05-19 20:22:25;4,64;10,59;33,07;13,38;46,78;1021,90;10,73;21,58;
"K-A3 GRECiOT 1";2022-05-19 20:17:26;4,93;12,64;33,44;16,08;43,20;1021,81;13,30;21,73;
"K-A3 GRECiOT 1";2022-05-19 20:12:25;5,17;11,91;33,45;13,21;48,46;1021,87;;22,00;
"K-A3 GRECiOT 1";2022-05-19 20:07:27;5,14;16,36;33,21;18,01;42,00;1021,89;9,32;22,08;
"K-A3 GRECiOT 1";2022-05-19 20:02:24;4,82;12,44;31,96;11,55;50,22;1021,86;11,64;22,35;
"K-A3 GRECiOT 1";2022-05-19 19:57:28;4,61;9,90;31,20;11,49;48,42;1021,81;10,03;22,50;
"K-A3 GRECiOT 1";2022-05-19 19:52:26;4,60;6,31;30,69;6,50;54,74;1021,81;7,18;22,76;
"K-A3 GRECiOT 1";2022-05-19 19:47:25;4,65;7,69;30,49;13,97;42,45;1021,75;9,47;22,93;
"K-A3 GRECiOT 1";2022-05-19 19:42:27;4,68;7,67;30,12;14,09;42,27;1021,70;10,50;23,17;
"K-A3 GRECiOT 1";2022-05-19 19:37:25;4,78;4,87;29,61;6,53;51,67;1021,67;10,56;23,57;
"K-A3 GRECiOT 1";2022-05-19 19:32:28;4,73;5,06;28,99;8,39;49,18;1021,70;11,15;23,86;
"K-A3 GRECiOT 1";2022-05-19 19:27:27;4,58;2,41;28,10;5,48;53,29;1021,65;7,94;24,20;
"K-A3 GRECiOT 1";2022-05-19 19:22:25;4,72;1,87;28,42;8,34;48,07;1021,64;7,29;24,17;
"K-A3 GRECiOT 1";2022-05-19 19:17:27;4,92;4,59;28,53;5,12;53,08;1021,61;9,32;24,34;
"K-A3 GRECiOT 1";2022-05-19 19:12:25;4,91;0,57;27,91;4,17;54,07;1021,63;12,00;24,70;
"K-A3 GRECiOT 1";2022-05-19 19:07:27;5,27;0,06;28,21;3,74;54,58;1021,59;9,72;24,94;
"K-A3 GRECiOT 1";2022-05-19 19:02:25;4,84;2,46;27,52;10,00;44,77;1021,60;11,81;24,85;
"K-A3 GRECiOT 1";2022-05-19 18:57:28;4,80;0,00;27,39;8,23;46,88;1021,61;10,49;24,88;
"K-A3 GRECiOT 1";2022-05-19 18:52:27;5,06;1,81;28,15;8,76;47,16;1021,63;9,41;24,72;
"K-A3 GRECiOT 1";2022-05-19 18:47:25;5,10;2,40;28,05;5,31;53,72;1021,60;8,98;24,84;
"K-A3 GRECiOT 1";2022-05-19 18:42:27;5,39;2,96;28,22;5,02;53,26;1021,63;7,94;25,07;
"K-A3 GRECiOT 1";2022-05-19 18:37:25;4,88;3,55;27,13;4,57;54,88;1021,70;9,84;25,14;
"K-A3 GRECiOT 1";2022-05-19 18:32:28;5,05;0,11;27,35;2,54;55,38;1021,75;11,27;25,21;
"K-A3 GRECiOT 1";2022-05-19 18:27:26;5,23;2,00;27,71;6,45;50,59;1021,77;6,09;25,19;
"K-A3 GRECiOT 1";2022-05-19 18:22:25;5,22;2,33;27,62;5,67;51,48;1021,78;6,99;25,23;
"K-A3 GRECiOT 1";2022-05-19 18:17:27;5,05;0,00;27,20;0,00;59,19;1021,77;7,10;25,29;
"K-A3 GRECiOT 1";2022-05-19 18:12:25;4,75;0,00;26,42;0,00;58,11;1021,77;6,35;25,43;
"K-A3 GRECiOT 1";2022-05-19 18:07:27;5,12;0,00;26,91;4,28;51,01;1021,85;8,66;25,56;
"K-A3 GRECiOT 1";2022-05-19 18:02:24;5,22;0,00;26,85;2,98;52,53;1021,83;8,00;25,72;
"K-A3 GRECiOT 1";2022-05-19 17:57:28;5,13;0,00;26,83;10,45;43,28;1021,84;10,05;25,62;
"K-A3 GRECiOT 1";2022-05-19 17:52:27;5,77;0,00;28,28;6,96;47,67;1021,90;9,13;25,48;
"K-A3 GRECiOT 1";2022-05-19 17:47:24;6,02;0,00;28,55;4,78;51,88;1021,99;9,41;25,62;
"K-A3 GRECiOT 1";2022-05-19 17:42:27;5,67;0,00;28,35;7,76;48,59;1022,05;7,85;25,32;
"K-A3 GRECiOT 1";2022-05-19 17:37:24;6,54;0,00;30,11;5,67;52,25;1022,05;9,89;25,32;
"K-A3 GRECiOT 1";2022-05-19 17:32:27;6,17;3,60;29,30;6,64;53,10;1022,14;12,85;25,35;
"K-A3 GRECiOT 1";2022-05-19 17:27:26;6,64;1,15;30,47;5,71;53,44;1022,20;16,52;25,23;
"K-A3 GRECiOT 1";2022-05-19 17:22:24;6,79;3,56;31,41;10,40;49,34;1022,17;10,05;24,89;
"K-A3 GRECiOT 1";2022-05-19 17:17:27;6,86;5,38;31,42;5,19;57,78;1022,29;11,29;24,98;
"K-A3 GRECiOT 1";2022-05-19 17:12:25;6,63;7,09;30,74;4,11;60,03;1022,21;11,11;25,08;
"K-A3 GRECiOT 1";2022-05-19 17:07:27;6,90;5,08;30,71;3,68;58,78;1022,19;14,88;25,40;
"K-A3 GRECiOT 1";2022-05-19 17:02:25;5,03;6,35;26,62;6,42;56,22;1022,30;9,53;25,63;
"K-A3 GRECiOT 1";2022-05-19 16:57:28;5,15;0,00;26,79;2,08;53,40;1022,28;9,80;25,67;
"K-A3 GRECiOT 1";2022-05-19 16:52:26;5,21;0,00;26,67;3,93;50,66;1022,32;12,11;25,81;
"K-A3 GRECiOT 1";2022-05-19 16:47:24;5,88;0,00;28,17;5,16;52,90;1022,36;9,00;25,67;
"K-A3 GRECiOT 1";2022-05-19 16:42:27;6,71;0,00;29,38;3,46;53,71;1022,37;12,53;25,93;
"K-A3 GRECiOT 1";2022-05-19 16:37:25;6,45;2,60;29,98;12,73;45,71;1022,42;13,48;25,29;
"K-A3 GRECiOT 1";2022-05-19 16:32:28;6,57;3,78;31,09;10,87;49,96;1022,45;9,39;24,81;
"K-A3 GRECiOT 1";2022-05-19 16:27:27;6,75;0,00;31,41;4,62;58,01;1022,55;9,78;24,85;
"K-A3 GRECiOT 1";2022-05-19 16:22:25;6,11;3,01;29,39;7,42;56,30;1022,60;6,60;25,23;
"K-A3 GRECiOT 1";2022-05-19 16:17:27;7,23;0,00;32,15;5,35;56,42;1022,59;13,86;25,01;
"K-A3 GRECiOT 1";2022-05-19 16:12:25;5,91;6,84;29,52;7,34;59,67;1022,73;10,65;24,92;
"K-A3 GRECiOT 1";2022-05-19 16:07:26;5,59;0,00;28,66;2,98;59,78;1022,66;14,22;25,05;
"K-A3 GRECiOT 1";2022-05-19 16:02:24;4,85;0,00;27,13;1,44;61,75;1022,76;11,07;25,11;
"K-A3 GRECiOT 1";2022-05-19 15:57:28;5,76;0,00;28,82;0,00;60,43;1022,73;10,02;25,15;
"K-A3 GRECiOT 1";2022-05-19 15:52:27;6,48;0,13;30,29;3,38;58,23;1022,91;19,39;25,15;
"K-A3 GRECiOT 1";2022-05-19 15:47:25;6,29;0,00;29,63;1,24;60,88;1023,02;8,51;25,30;
"K-A3 GRECiOT 1";2022-05-19 15:42:26;6,37;0,00;29,39;2,46;58,91;1023,06;10,52;25,53;
"K-A3 GRECiOT 1";2022-05-19 15:37:24;6,32;0,00;29,80;8,12;50,92;1023,08;8,16;25,23;
"K-A3 GRECiOT 1";2022-05-19 15:32:28;6,59;0,00;30,44;3,92;57,10;1023,17;10,30;25,19;
"K-A3 GRECiOT 1";2022-05-19 15:27:27;6,10;1,83;29,56;5,77;56,38;1023,26;11,64;25,12;
"K-A3 GRECiOT 1";2022-05-19 15:22:25;6,28;0,00;29,67;2,16;59,12;1023,32;10,43;25,26;
"K-A3 GRECiOT 1";2022-05-19 15:17:27;6,19;0,00;29,06;1,14;59,67;1023,35;12,64;25,52;
"K-A3 GRECiOT 1";2022-05-19 15:12:25;6,56;0,00;29,36;4,00;55,19;1023,41;10,38;25,77;
"K-A3 GRECiOT 1";2022-05-19 15:07:26;6,75;0,00;29,67;5,22;52,88;1023,36;10,40;25,81;
"K-A3 GRECiOT 1";2022-05-19 15:02:24;6,60;2,24;28,97;7,69;51,58;1023,36;10,67;26,04;
"K-A3 GRECiOT 1";2022-05-19 14:57:28;5,09;0,00;25,94;10,54;44,60;1023,40;10,08;26,14;
"K-A3 GRECiOT 1";2022-05-19 14:52:27;4,72;0,00;25,04;3,64;51,54;1023,34;9,23;26,31;
"K-A3 GRECiOT 1";2022-05-19 14:47:25;4,96;0,00;25,23;1,17;48,12;1023,41;7,19;26,47;
"K-A3 GRECiOT 1";2022-05-19 14:42:27;5,36;0,00;26,31;9,44;38,92;1023,43;7,53;26,23;
"K-A3 GRECiOT 1";2022-05-19 14:37:25;4,82;0,00;25,66;7,52;43,36;1023,48;12,15;26,01;
"K-A3 GRECiOT 1";2022-05-19 14:32:28;4,82;0,00;25,86;2,00;48,55;1023,54;8,70;25,87;
"K-A3 GRECiOT 1";2022-05-19 14:27:27;4,89;0,00;26,06;0,00;49,73;1023,58;10,68;25,83;
"K-A3 GRECiOT 1";2022-05-19 14:22:24;4,36;0,00;24,91;0,00;49,38;1023,65;8,29;25,97;
"K-A3 GRECiOT 1";2022-05-19 14:17:26;4,79;0,00;25,39;0,00;49,30;1023,73;14,03;26,16;
"K-A3 GRECiOT 1";2022-05-19 14:12:25;4,81;0,00;25,77;1,03;47,90;1023,82;;25,93;
"K-A3 GRECiOT 1";2022-05-19 14:07:27;4,93;0,00;26,22;0,00;50,31;1023,86;14,22;25,77;
"K-A3 GRECiOT 1";2022-05-19 14:02:25;5,15;0,00;26,94;0,00;49,28;1023,96;9,06;25,57;
"K-A3 GRECiOT 1";2022-05-19 13:57:28;4,75;0,00;26,26;0,00;51,81;1024,09;8,27;25,53;
"K-A3 GRECiOT 1";2022-05-19 13:52:27;5,34;0,00;27,16;0,00;49,10;1024,22;9,79;25,66;
"K-A3 GRECiOT 1";2022-05-19 13:47:24;5,20;0,00;28,07;7,90;39,21;1024,31;10,30;24,94;
"K-A3 GRECiOT 1";2022-05-19 13:42:26;5,35;0,00;29,17;3,48;45,59;1024,38;9,67;24,47;
"K-A3 GRECiOT 1";2022-05-19 13:37:24;4,86;0,00;28,51;0,00;51,04;1024,38;10,41;24,29;
"K-A3 GRECiOT 1";2022-05-19 13:32:27;5,31;0,00;29,18;1,56;47,80;1024,50;42,49;24,41;
"K-A3 GRECiOT 1";2022-05-19 13:27:27;5,31;0,00;29,18;0,33;49,74;1024,56;18,67;24,41;
"K-A3 GRECiOT 1";2022-05-19 13:22:25;6,06;0,00;30,15;0,80;47,77;1024,57;12,86;24,74;
"K-A3 GRECiOT 1";2022-05-19 13:17:27;4,89;0,00;27,24;1,18;45,99;1024,62;9,18;25,08;
"K-A3 GRECiOT 1";2022-05-19 13:12:24;5,26;0,00;28,00;0,22;45,07;1024,75;16,39;25,05;
"K-A3 GRECiOT 1";2022-05-19 13:07:26;4,95;0,00;27,78;1,29;43,40;1024,83;8,52;24,82;
"K-A3 GRECiOT 1";2022-05-19 13:02:25;5,59;0,00;29,02;2,22;41,83;1024,84;7,66;24,84;
"K-A3 GRECiOT 1";2022-05-19 12:57:27;6,01;0,00;30,40;0,00;44,26;1024,92;11,32;24,54;
"K-A3 GRECiOT 1";2022-05-19 12:52:27;5,90;0,00;29,00;0,00;44,34;1025,05;10,03;25,21;
"K-A3 GRECiOT 1";2022-05-19 12:47:25;5,77;0,00;29,76;0,18;45,27;1025,06;11,76;24,63;
"K-A3 GRECiOT 1";2022-05-19 12:42:26;6,11;0,00;31,59;7,37;37,42;1025,13;8,34;24,02;
"K-A3 GRECiOT 1";2022-05-19 12:37:24;5,61;0,00;31,34;2,58;42,93;1025,17;10,47;23,58;
"K-A3 GRECiOT 1";2022-05-19 12:32:27;5,47;0,00;32,36;6,81;38,60;1025,20;10,96;22,89;
"K-A3 GRECiOT 1";2022-05-19 12:27:27;5,42;0,00;32,90;6,14;40,48;1025,29;10,97;22,56;
"K-A3 GRECiOT 1";2022-05-19 12:22:25;5,56;0,00;33,47;7,14;38,15;1025,43;11,05;22,43;
"K-A3 GRECiOT 1";2022-05-19 12:17:27;5,36;0,00;32,98;5,34;41,36;1025,44;11,79;22,45;
